"scenario","year","hcv_median","hcv_lo","hcv_hi","dc_median","dc_lo","dc_hi","hcc_median","hcc_lo","hcc_hi"
"prison_only_treatment_30plus",2048,4891.34989991784,4388.43541093329,5501.77829342421,215.204627062258,191.699251027272,245.284339540011,54.5579000919058,48.7506158161514,62.1496512811656
"prison_only_treatment_30plus",2049,4843.44953128326,4342.56061337661,5451.74228121444,211.256764847599,188.111524499066,241.141496638338,53.6298341614604,47.9088805295836,61.1382651728905
"prison_only_treatment_30plus",2050,4798.76638668935,4299.55864539531,5404.98919959586,207.517291368168,184.692879759429,237.233193657008,52.7546344770306,47.1159488343715,60.1864783773581
"prison_only_treatment_30plus",2051,4756.17286403277,4259.24122960185,5361.29983235559,203.956239374168,181.466408576121,233.547812081716,51.939915587442,46.3697344499658,59.2907699624452
"prison_only_treatment_30plus",2052,4715.97742806049,4222.09037381659,5320.47034053769,200.763416640992,178.527033199604,230.063815325205,51.1977905368094,45.6676439333944,58.448081535505
"prison_only_treatment_30plus",2053,4679.09691521077,4188.48433327367,5280.52994416993,197.673700513742,175.767407067648,226.678387708517,50.4665101583325,45.0072042458201,57.6554864977799
"prison_only_treatment_30plus",2054,4647.48635059769,4157.05296456828,5242.49963341474,194.757613816954,173.172610405313,223.487665723855,49.7760217062719,44.3860621362363,56.9101912828707
"prison_only_treatment_30plus",2055,4616.40176351917,4127.65043461587,5206.87700869941,192.093187858065,170.733270156141,220.485366903506,49.1356737639441,43.801982267856,56.2095348430421
"prison_only_treatment_30plus",2056,4586.89350020616,4100.14132341431,5173.507822679,189.606467115871,168.435907360697,217.664075723196,48.5525636095035,43.2528443910006,55.5509867692687
"prison_only_treatment_30plus",2057,4559.34857227796,4074.39982956232,5142.24818108748,187.266445698142,166.275204724294,215.008342326898,47.9840008770641,42.7065925758786,54.9525339292805
"prison_only_treatment_30plus",2058,4533.63470847766,4050.30903610555,5113.07718531754,185.064985860614,164.244636620421,212.509170188859,47.4538952721655,42.1841675313584,54.4027723587774
"prison_only_treatment_30plus",2059,4509.10127282402,4027.76023307252,5085.76733832261,182.847442509511,162.295332315361,210.157977291534,46.989437461294,41.7375012276255,53.8876413440169
"prison_only_treatment_30plus",2060,4484.68575386267,4006.65229308752,5060.18285888701,180.887206087724,160.455998481601,207.94658823711,46.5146629517973,41.320115981809,53.4050605477959
"prison_only_treatment_30plus",2061,4461.80394907634,3986.891096499,5036.21476000048,179.059552161092,158.604856042721,205.867224033695,46.0677987117105,40.9280817677823,52.9530659500118
"prison_only_treatment_30plus",2062,4441.9992492923,3968.38900254215,5013.76113813635,177.311507644953,156.853926256175,203.959166763262,45.6668716511033,40.560594862876,52.5298044999501
"prison_only_treatment_30plus",2063,4423.98852948311,3951.06436316186,4992.72667309324,175.648561818376,155.284402013719,202.237015796386,45.2862415402671,40.216367585505,52.1247113043062
"prison_only_treatment_30plus",2064,4407.15151656284,3934.84107625354,4973.02216760424,174.033092525455,153.89279620526,200.622934960118,44.947469120838,39.8939781218906,51.7444430421534
"prison_only_treatment_30plus",2065,4391.41188561012,3919.64817522927,4954.56412341575,172.612932901265,152.586786235858,199.11052804528,44.5974958800643,39.5849909745571,51.3877536035188
"prison_only_treatment_30plus",2066,4376.69836798087,3905.41945198117,4937.27435075319,171.308767331178,151.359687654335,197.693745860483,44.2528816638151,39.2910650451364,51.0484800282704
"prison_only_treatment_30plus",2067,4362.94439511352,3892.09311048761,4921.07960830874,170.050159629699,150.209818238173,196.332872879925,43.9467533039489,39.0151631449408,50.7221313111669
"prison_only_treatment_40plus",2017,11065.1096153975,10005.5769676965,12285.4468285781,479.199988829626,428.904187621275,534.751479400823,125.570140317268,112.67334253195,140.14638006811
"prison_only_treatment_40plus",2018,10557.3893455423,9555.76160020533,11718.3644926932,470.91681761693,421.561246990517,525.8611753553,123.507647917094,110.73887289922,137.766580476384
"prison_only_treatment_40plus",2019,10107.4367177629,9140.73240014401,11197.5389280944,460.890633551995,412.582256096633,514.98844311266,120.488485277254,107.934083601772,134.332994821026
"prison_only_treatment_40plus",2020,9764.6175661626,8825.83653220782,10806.8870166076,451.075417157646,404.200150749102,504.555760100711,117.415111653694,105.110865815027,130.958895867487
