theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12
1.8408318,-2.4561844,-2.8285773,-0.58494806,2.3170602,-1.2158847,-1.7926772,-0.07094065,0.21968879,1.6205622,3.0005715,4.5558925
1.8447574,-2.4572327,-2.8344195,-0.5819017,2.273714,-1.9690057,-1.7934406,-0.07249271,0.2178898,1.6195171,2.97458,4.5329227
1.8393881,-2.4557154,-2.828496,-0.58576465,2.3226442,-1.6410966,-1.7933758,-0.073499925,0.21651012,1.6138006,2.9873526,4.5292325
1.840256,-2.456221,-2.8362606,-0.6259559,2.2785704,-0.123040274,-1.7891663,-0.07619029,0.20347115,1.6123297,2.9592745,4.600577
1.8371838,-2.4589965,-2.8291495,-0.5791663,2.2975888,-0.76986593,-1.798356,-0.07011825,0.21721339,1.6269888,2.983239,4.5725718
1.8424078,-2.4546397,-2.8274655,-0.588791,2.2971668,-1.4874092,-1.7884766,-0.072325766,0.2198647,1.6246673,2.9911215,4.5414333
1.8435777,-2.4565356,-2.8320673,-0.5878754,2.3807135,-1.2935846,-1.7929478,-0.07339218,0.21937685,1.6211479,3.0011365,4.5493684
1.8403767,-2.4542704,-2.825421,-0.58872116,2.3224735,-1.9458504,-1.7905871,-0.07025207,0.21183369,1.6280631,2.99846,4.5290856
1.8421054,-2.4567964,-2.833128,-0.58096075,2.3209248,-2.0764637,-1.7982717,-0.07163498,0.21695508,1.6155828,2.9804518,4.5313716
1.8422352,-2.4538462,-2.823074,-0.5988978,2.282522,-1.7303902,-1.7906013,-0.06933723,0.22394085,1.614482,2.956091,4.5324955
1.8432697,-2.4508228,-2.8268015,-0.5865178,2.3009722,-1.1348925,-1.7909279,-0.0672739,0.2302651,1.6201736,2.9884236,4.554352
1.8400062,-2.4582613,-2.8242676,-0.5833019,2.3030944,-1.0255994,-1.7931964,-0.072406664,0.20680697,1.6133006,2.9801612,4.5425262
1.8389763,-2.4578962,-2.8257926,-0.5921137,2.306464,-1.4772564,-1.78886,-0.07250251,0.23070136,1.6299365,2.973566,4.547873
1.8393124,-2.457466,-2.83101,-0.586517,2.243269,-1.1683744,-1.7958702,-0.07190153,0.2151961,1.6185062,2.9722173,4.515361
1.8378557,-2.4603884,-2.8322344,-0.5871112,2.2905571,-1.3135151,-1.794039,-0.06819571,0.21919495,1.6241571,2.981033,4.551114
1.8404715,-2.457536,-2.826719,-0.58323824,2.2961247,-1.7370872,-1.790535,-0.06994513,0.22269766,1.6178236,2.9879496,4.5405784
1.844683,-2.4560754,-2.8266675,-0.5887011,2.3113139,-1.2598102,-1.7944456,-0.07421863,0.22069362,1.6253797,2.9993715,4.5566177
1.840934,-2.4613307,-2.812078,-0.6049146,2.2127812,-1.1123362,-1.7942641,-0.06674452,0.23866293,1.6047028,2.9165268,4.486708
1.8408742,-2.4536912,-2.8169181,-0.5778517,2.2495937,-1.325144,-1.7951772,-0.07218668,0.19981466,1.602569,2.9440205,4.4864955
1.8388588,-2.4533186,-2.8323321,-0.58144665,2.3042393,-1.3591843,-1.7954235,-0.0712825,0.21893252,1.616469,2.9718559,4.555878
1.8417885,-2.456606,-2.831768,-0.5908344,2.289683,-1.4093552,-1.7928061,-0.07162564,0.20630935,1.6173316,2.9828837,4.546873
1.8408746,-2.4540932,-2.827158,-0.58919585,2.301805,-1.9184129,-1.79386,-0.07100056,0.22683834,1.6194415,2.9845054,4.5271792
1.8430207,-2.4535608,-2.827737,-0.5876718,2.2996,-1.0598816,-1.7916896,-0.07169346,0.22215153,1.6233076,2.9846027,4.5575147
1.838943,-2.4569592,-2.8285275,-0.5870853,2.2962582,-1.4178561,-1.793754,-0.06996873,0.2317492,1.6266226,2.9896257,4.547026
1.8447132,-2.4542732,-2.8241377,-0.5867447,2.3283274,-1.2883369,-1.7921147,-0.07046639,0.2266882,1.6205201,2.9761784,4.5385275
1.8433642,-2.4542363,-2.8304398,-0.58425945,2.298482,-2.1506524,-1.7911474,-0.07147239,0.21795152,1.62216,2.9954047,4.5231915
1.8406137,-2.458572,-2.8265579,-0.5867613,2.2898436,-0.93252,-1.7935712,-0.072273575,0.21841893,1.6228385,2.992478,4.5610895
1.8407758,-2.4571683,-2.8264008,-0.58272547,2.2958534,-1.2597904,-1.7925197,-0.07387607,0.21944202,1.6217812,2.986455,4.5454416
1.8422028,-2.463807,-2.8314319,-0.6275583,2.2414753,-1.6243906,-1.7931352,-0.071565226,0.21568055,1.6004142,2.94274,4.5236073
1.8426728,-2.4539423,-2.8273954,-0.5812367,2.320091,-1.411302,-1.7918202,-0.070529416,0.21759315,1.6243546,2.9960926,4.54044
1.8393348,-2.4549015,-2.8369303,-0.59515816,2.217074,-1.1157464,-1.7892412,-0.07211757,0.21505429,1.6245772,2.945371,4.557868
1.8383031,-2.4568841,-2.829688,-0.5878839,2.2807715,-2.1364446,-1.7929512,-0.06927298,0.21669367,1.6242442,2.9910705,4.5247483
1.842768,-2.4531376,-2.823976,-0.5869055,2.294352,-1.184335,-1.7961291,-0.07067181,0.22734761,1.623604,2.9818175,4.563028
1.8419275,-2.4580054,-2.828318,-0.5867945,2.2619936,-1.275318,-1.796416,-0.07679545,0.2312154,1.6176426,2.978398,4.544661
1.8384165,-2.4589376,-2.8269281,-0.57934445,2.2896469,-1.5341557,-1.7960433,-0.071059875,0.21280311,1.6159198,2.97556,4.524827
