"source","p1","p2","p3","p4","p5","p6","N1","N2","N3","N4","N5","N6"
"npe",0.113966338841009,0.179435124121131,0.280563259958524,0.442251981403072,0.492721051082977,0.387634608781434,98.5016623156854,1245.80629576287,1461.77416105678,1764.39166897285,1649.82296420643,538.37920562467
"npe",0.110607270618515,0.171875085451838,0.266758598675982,0.431509085065643,0.481069429728477,0.382558786039482,98.5856666048243,1246.51342129602,1447.77628335625,1782.76351604986,1637.50102788106,529.659635045612
"npe",0.114869601676385,0.176450482768757,0.273788133901975,0.43373304676435,0.486084699507304,0.39645419067174,99.2167544800806,1245.4325624486,1439.56368840809,1809.3407106755,1655.12948887333,521.108868871769
"npe",0.110803166511954,0.171544125808169,0.268258477475359,0.430415498636824,0.490216244398273,0.397854968668417,99.3293643340706,1260.64808702743,1458.40181205577,1818.8666846162,1677.26690740223,535.846025527183
"npe",0.110216408126622,0.173337065608899,0.269850319888884,0.431759584064703,0.474652135490328,0.381798222389016,98.2040144505939,1256.18473477921,1451.62520673904,1833.29811412221,1578.43240121216,514.07730541839
"npe",0.113246534979321,0.177621718852222,0.273748013188076,0.433472343704662,0.475403161317308,0.382508039453057,98.7665989875455,1249.52840280692,1459.32163441738,1828.73885870767,1554.90450908533,514.959187518255
"npe",0.114090652788759,0.176873603217812,0.274902222717462,0.435497526843911,0.487199550077083,0.385510652293624,97.9598220381603,1260.60539819111,1454.64919919936,1808.5224414131,1557.34132249296,511.31352883125
"npe",0.11228648857599,0.175025423854611,0.2732751203721,0.439262463364483,0.493293217338232,0.397974108827451,98.2542979186244,1231.110104329,1448.64531434785,1808.4882713582,1671.26085013857,532.800195100127
"npe",0.106629060898682,0.169316866545535,0.262802501183924,0.41983735769641,0.478587732169267,0.387440444115167,98.2086861649748,1253.79729243071,1476.19605644284,1966.09132786708,1742.32048255426,551.818475005992
"npe",0.110881173936778,0.172215811326185,0.26944613896843,0.432573695697224,0.488758123099521,0.400478141226116,98.5536413793605,1252.89846738445,1478.68593777346,1840.86099078786,1697.25845821783,544.679121732947
"npe",0.106217262338838,0.170458954831697,0.263698225136172,0.427115138761322,0.488480410015313,0.394415611625985,97.831260406917,1246.09480042183,1470.15704347367,1887.2965343176,1626.83101783028,524.375155813701
"npe",0.11431079465367,0.179096477992786,0.274899696137295,0.436156080841038,0.494816205936294,0.399410743507157,98.1545428908156,1248.06633646771,1454.05166908429,1799.95608346785,1659.48523126166,535.529409081901
"npe",0.108472852826775,0.169755583473343,0.267066009531211,0.429657340466507,0.481149196252351,0.382424537864624,98.6208441814916,1244.61273872199,1471.49795189386,1885.90714872674,1608.35533993825,517.397592727711
"npe",0.111179520963218,0.176705624471788,0.273063867203931,0.434440775019964,0.483063329899883,0.387561721587641,98.5714905609361,1251.81047845522,1470.65385143841,1816.72087754054,1607.7109648019,521.080624595786
"npe",0.110186562845411,0.173243487355691,0.271096724556812,0.432244837781689,0.486102048019726,0.391642403638654,98.9130624984237,1239.65301601077,1452.25428737821,1792.84559066519,1619.85784472464,521.223973266339
"npe",0.113604178287172,0.179635035893806,0.276893147117804,0.43990343116348,0.491987827576217,0.398887594445957,98.455249072731,1237.34237227321,1469.61836643502,1786.07153828728,1594.38764375925,520.435689027496
"npe",0.107715326537959,0.169698340746566,0.266900970333179,0.431308612502684,0.48082972206332,0.397943319538948,99.0970227926164,1255.28874341625,1444.64934833958,1820.04916754432,1579.33588404245,532.296099475201
